Date,Open,High,Low,Close,Adj Close,Volume
2020-02-27,32.675522,33.880455,32.352940,32.352940,29.747736,55444827
2020-02-28,31.774195,32.201138,30.863379,31.707781,29.154531,66057447
2020-03-02,32.172676,33.159393,31.736242,33.092979,30.428188,42034469
2020-03-03,33.377609,33.946869,32.125237,32.542694,29.922213,46174475
2020-03-04,33.301708,34.592030,33.159393,34.535103,31.754179,38712155
2020-03-05,33.823528,34.326378,33.358635,33.643265,30.934158,35096303
2020-03-06,32.922199,33.368122,32.371918,33.225807,30.550318,40931036
2020-03-09,31.745731,32.912712,31.461102,32.030361,29.451134,43183856
2020-03-10,32.798862,32.884251,31.318787,32.817837,30.175194,40548329
2020-03-11,32.030361,32.144215,30.037951,30.521822,28.064072,65350213
2020-03-12,28.918406,30.360531,28.462997,28.481974,26.188480,62731445
2020-03-13,29.667933,31.195446,28.681213,31.034157,28.535149,60553038
2020-03-16,28.406073,30.626186,28.130930,28.633776,26.328058,50995050
2020-03-17,30.018974,30.977230,29.022770,30.512335,28.055347,54220606
2020-03-18,29.193548,30.939280,28.757116,30.702087,28.229820,43884976
2020-03-19,30.569260,30.597723,28.472486,28.861481,26.537428,59820929
2020-03-20,28.728653,29.098673,27.428843,27.523720,25.307388,52488989
2020-03-23,27.286528,28.064516,26.451612,27.030361,24.853758,52853041
2020-03-24,27.998102,28.510435,27.419355,28.178368,25.909317,44466784
2020-03-25,27.988615,29.146111,27.514231,28.225805,25.952940,44601275
2020-03-26,28.358635,30.351044,28.349146,30.123341,27.697676,43269967
2020-03-27,29.222012,30.113852,29.089184,29.316889,26.956161,38290344
2020-03-30,29.459204,31.166983,29.459204,30.996204,28.500254,29943508
2020-03-31,30.740038,31.309298,30.588236,30.967743,28.474083,29466151
2020-04-01,30.284630,30.626186,29.914612,30.123341,27.697676,26709625
2020-04-02,30.265656,31.309298,30.123341,31.185959,28.674728,27186876
2020-04-03,30.958254,32.153702,30.958254,31.916510,29.346455,32837370
2020-04-06,32.182163,33.111954,32.049335,32.798862,30.157757,40503217
2020-04-07,33.206833,33.368122,31.869070,31.888046,29.320282,24226295
2020-04-08,32.248577,33.017078,31.726755,32.827324,30.183922,25523980
2020-04-09,33.235294,33.937382,33.064514,33.576851,30.873095,30648107
2020-04-13,34.117645,34.136623,32.941177,33.339657,30.655001,18270141
2020-04-14,34.089184,34.753323,33.529411,34.573055,31.789082,21845309
2020-04-15,34.212524,34.373814,33.757114,34.127136,31.379074,21312196
2020-04-16,34.269451,34.402279,33.757114,34.041744,31.300550,20657451
2020-04-17,34.629982,35.104362,34.259960,35.018974,32.199093,24404843
2020-04-20,34.516129,35.018974,34.231499,34.231499,31.475027,22530620
2020-04-21,33.946869,34.089184,33.557877,33.795067,31.073738,23975233
2020-04-22,35.066414,35.104362,34.269451,34.392788,31.623333,20182624
2020-04-23,34.421253,35.483871,34.421253,34.810246,32.007168,20185365
2020-04-24,34.952560,35.512333,34.895638,35.464897,32.609104,17353794
2020-04-27,35.664139,36.565464,35.645161,36.366222,33.437851,23394057
2020-04-28,37.049335,37.210625,35.464897,35.967743,33.071461,35666728
2020-04-29,36.489563,36.574951,35.777988,36.166985,33.254662,26518535
2020-04-30,36.053131,36.537003,35.445919,36.394688,33.464027,29450973
2020-05-01,35.910816,35.996204,35.474384,35.711575,32.835918,22679867
2020-05-04,35.673622,35.977230,35.493359,35.692600,32.818470,19893512
2020-05-05,36.821632,36.869068,36.309299,36.537003,33.594879,24123952
2020-05-06,36.973434,37.011387,36.537003,36.537003,33.594879,24047432
2020-05-07,36.442123,36.518028,35.000000,35.066414,32.564030,33546080
2020-05-08,35.341557,35.464897,35.142315,35.313091,32.793118,19893618
2020-05-11,35.341557,36.252373,35.256168,36.148006,33.568443,25620421
2020-05-12,36.166985,36.280834,35.426945,35.445919,32.916462,19335314
2020-05-13,35.398483,35.502846,34.715370,35.151802,32.643337,24596882
2020-05-14,34.914612,36.015179,34.895638,35.977230,33.409855,22362507
2020-05-15,36.015179,36.214420,35.474384,35.825428,33.268894,25460002
2020-05-18,36.375713,36.489563,35.702087,36.119545,33.542011,22635177
2020-05-19,35.910816,36.072105,35.398483,35.749527,33.198399,19476234
2020-05-20,36.005692,36.242886,35.626186,35.702087,33.154343,17504200
2020-05-21,35.645161,35.721062,35.151802,35.351044,32.828354,17652181
2020-05-22,35.208729,35.607212,35.066414,35.578747,33.039806,15781226
2020-05-26,35.721062,35.929790,35.531307,35.569260,33.030998,23260094
2020-05-27,35.493359,35.616699,35.075901,35.493359,32.960518,25904158
2020-05-28,35.901329,36.470589,35.787476,36.223907,33.638931,22521767
2020-05-29,36.309299,36.461102,35.654648,36.233398,33.647743,48333067
2020-06-01,33.681213,33.899429,33.121441,33.643265,31.242447,76884979
2020-06-02,33.709679,34.307400,33.444023,34.307400,31.859188,42690900
2020-06-03,34.430740,34.544594,33.719166,34.307400,31.859188,38751996
